City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Sao Joao Da Barra,BR,2022-12-20 19:30:19,-21.6403,-41.0511,75.29,95,100,5.68
115,Port Alfred,ZA,2022-12-20 19:30:19,-33.5906,26.891,62.19,87,33,5.01
116,Namibe,AO,2022-12-20 19:30:20,-15.1961,12.1522,68.29,79,100,8.46
117,Broken Hill,AU,2022-12-20 19:30:21,-31.95,141.4333,72.12,38,99,12.73
118,Patterson,US,2022-12-20 19:30:22,37.4716,-121.1297,46.67,83,9,7.09
119,Bayir,TR,2022-12-20 19:30:22,37.2687,28.2167,48.72,68,0,4.83
120,Salalah,OM,2022-12-20 19:30:23,17.0151,54.0924,78.89,22,0,12.66
121,Tiksi,RU,2022-12-20 19:30:23,71.6872,128.8694,-16.64,98,99,4.38
122,Karpogory,RU,2022-12-20 19:30:24,64.0019,44.4451,-10.12,100,100,3.13
123,Iisalmi,FI,2022-12-20 19:30:24,63.5592,27.1907,23.0,95,100,10.11
124,Rawson,AR,2022-12-20 19:30:25,-43.3002,-65.1023,72.27,64,83,16.26
125,Chiredzi,ZW,2022-12-20 19:30:26,-21.05,31.6667,74.28,79,100,6.96
126,Hobyo,SO,2022-12-20 19:30:26,5.3505,48.5268,78.96,79,26,19.75
127,Waingapu,ID,2022-12-20 19:30:27,-9.6567,120.2641,76.78,77,100,6.33
128,Dunmore East,IE,2022-12-20 19:30:27,52.1514,-6.9861,48.69,73,40,12.66
129,Grand Gaube,MU,2022-12-20 19:30:28,-20.0064,57.6608,76.37,68,45,4.0
130,Bud,US,2022-12-20 19:30:28,39.447,-86.1758,45.48,47,6,3.18
131,Davila,PH,2022-12-20 19:30:29,18.4726,120.5763,76.26,85,100,16.02
132,Saldanha,ZA,2022-12-20 19:30:29,-33.0117,17.9442,63.19,79,93,25.28
133,Belyy Yar,RU,2022-12-20 19:31:30,53.6039,91.3903,16.86,82,50,2.24
134,Belaya Gora,RU,2022-12-20 19:31:30,68.5333,146.4167,-15.07,100,94,0.78
135,Isangel,VU,2022-12-20 19:31:31,-19.55,169.2667,81.48,73,3,5.66
136,Cherskiy,RU,2022-12-20 19:31:31,68.75,161.3,20.86,69,100,7.09
137,Kaitangata,NZ,2022-12-20 19:31:32,-46.2817,169.8464,51.8,75,100,7.9
138,Nouadhibou,MR,2022-12-20 19:31:33,20.931,-17.0347,75.18,46,0,8.05
139,Troitskoye,RU,2022-12-20 19:31:33,52.9821,84.6757,13.46,85,23,6.64
140,Vila Franca Do Campo,PT,2022-12-20 19:31:33,37.7167,-25.4333,66.2,92,99,16.31
