City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Rikitea,PF,2022-12-27 20:37:39,-23.1203,-134.9692,77.86,73,4,9.69
166,Maryville,US,2022-12-27 20:34:52,35.7565,-83.9705,44.74,69,40,1.99
167,Sistranda,NO,2022-12-27 20:37:40,63.7256,8.834,35.56,59,100,28.27
168,Hamilton,US,2022-12-27 20:34:34,39.1834,-84.5333,33.6,83,100,8.05
169,Waipawa,NZ,2022-12-27 20:37:41,-41.4122,175.5153,59.16,86,83,3.89
170,Provideniya,RU,2022-12-27 20:37:41,64.3833,-173.3,8.71,72,20,26.84
171,Ponta Do Sol,PT,2022-12-27 20:32:33,32.6667,-17.1,67.12,24,6,7.61
172,Adrar,MR,2022-12-27 20:37:42,20.5022,-10.0711,72.81,20,84,13.71
173,Georgetown,MY,2022-12-27 20:37:34,5.4112,100.3354,79.23,82,20,3.44
174,Rio Grande,BR,2022-12-27 20:37:43,-32.035,-52.0986,77.11,57,100,11.99
175,Maxixe,MZ,2022-12-27 20:35:09,-23.8597,35.3472,75.2,84,30,6.11
176,Maniitsoq,GL,2022-12-27 20:37:43,65.4167,-52.9,15.49,56,41,14.58
177,Cap-Aux-Meules,CA,2022-12-27 20:37:44,47.3821,-61.8597,26.65,100,100,10.36
178,Tefe,BR,2022-12-27 20:37:44,-3.3542,-64.7114,75.31,100,75,2.3
179,Gbarnga,LR,2022-12-27 20:37:45,6.9956,-9.4722,74.17,44,2,1.54
180,Muros,ES,2022-12-27 20:37:45,42.7762,-9.0603,49.08,92,68,8.93
181,Lompoc,US,2022-12-27 20:32:55,34.6391,-120.4579,57.52,97,100,5.75
182,Shakiso,ET,2022-12-27 20:37:46,5.75,38.9167,60.85,70,95,2.66
183,Gornopravdinsk,RU,2022-12-27 20:37:46,60.05,69.9,-7.49,100,94,2.57
184,Linhares,BR,2022-12-27 20:37:47,-19.3911,-40.0722,74.71,82,92,6.35
185,Karasjok,NO,2022-12-27 20:37:47,69.4719,25.5112,-1.19,100,97,6.04
186,Vitry-Le-Francois,FR,2022-12-27 20:38:47,48.7333,4.5833,41.41,97,73,10.65
187,La Ronge,CA,2022-12-27 20:38:48,55.1001,-105.2842,1.65,85,100,11.5
188,Kavieng,PG,2022-12-27 20:38:48,-2.5744,150.7967,82.71,70,63,8.37
189,Bambous Virieux,MU,2022-12-27 20:32:49,-20.3428,57.7575,78.22,69,20,11.5
190,Los Llanos De Aridane,ES,2022-12-27 20:38:49,28.6585,-17.9182,67.75,70,49,14.0
191,Mangrul Pir,IN,2022-12-27 20:38:49,20.3167,77.35,70.03,55,1,4.88
192,Roma,US,2022-12-27 20:36:04,43.2128,-75.4557,29.37,64,75,12.66
193,Matagami,CA,2022-12-27 20:38:50,49.7502,-77.6328,8.71,72,100,4.61
194,Bera,BD,2022-12-27 20:38:50,24.0833,89.6167,67.91,52,97,4.79
195,Chapais,CA,2022-12-27 20:38:51,49.7834,-74.8492,2.98,94,100,5.35
196,Eureka,US,2022-12-27 20:37:00,40.8021,-124.1637,56.93,87,93,10.0
197,Wufeng,CN,2022-12-27 20:38:52,27.45,104.8333,25.16,98,100,3.58
198,Olafsvik,IS,2022-12-27 20:38:52,64.8945,-23.7142,25.5,65,22,22.06
199,Fort-Shevchenko,KZ,2022-12-27 20:38:53,44.5086,50.263,32.05,73,6,1.97
200,Grindavik,IS,2022-12-27 20:38:53,63.8424,-22.4338,21.67,86,20,10.36
201,Ilulissat,GL,2022-12-27 20:38:54,69.2167,-51.1,12.22,34,20,26.46
202,Necochea,AR,2022-12-27 20:38:54,-38.5473,-58.7368,70.81,64,71,14.36
203,Shingu,JP,2022-12-27 20:38:54,33.7333,135.9833,38.32,65,4,5.39
204,Verkhnyaya Inta,RU,2022-12-27 20:37:03,65.9811,60.3094,13.24,93,100,14.32
205,Port Hedland,AU,2022-12-27 20:38:55,-20.3167,118.5667,78.85,89,40,12.66
206,Udomlya,RU,2022-12-27 20:38:55,57.8794,34.9925,24.57,96,100,6.31
207,Pisco,PE,2022-12-27 20:37:55,-13.7,-76.2167,78.85,69,0,20.71
208,Rafai,CF,2022-12-27 20:38:56,4.95,23.9167,70.59,36,96,3.58
209,Malaya Serdoba,RU,2022-12-27 20:38:56,52.4661,44.9512,21.25,93,98,12.01
210,Salalah,OM,2022-12-27 20:38:57,17.0151,54.0924,73.49,83,20,4.61
211,Tanggu,CN,2022-12-27 20:38:57,39.0211,117.6469,19.36,34,0,6.98
212,Bandarbeyla,SO,2022-12-27 20:38:58,9.4942,50.8122,74.89,71,9,8.46
